time_s,ivc_pressure_pa,lpa_pressure_pa,rpa_pressure_pa,svc_pressure_pa,aortic_arch_pressure_pa,ascending_aorta_pressure_pa,descending_aorta_pressure_pa,femoral_artery_pressure_pa,ventricle_pressure_pa,wedge_pressure_pa,ivc_flow_m3_s,lpa_flow_m3_s,rpa_flow_m3_s,svc_flow_m3_s,ascending_aorta_flow_m3_s,descending_aorta_flow_m3_s,ventricle_volume_m3
0.2370000000000001,1141.086183755168,1125.3052,1146.6380000000001,1201.3033,8865.530265613766,8704.431501301224,8603.032732963802,8242.140890472432,9305.1007,811.9797000000001,1.8788473611851218e-05,1.7670056458183464e-05,2.0347848063637192e-05,2.727637802844018e-05,0.00016222965842824867,8.376756086414603e-05,5.268498403313431e-05
0.238,1139.3986958779,1126.6385,1145.1533027113371,1202.0456486443315,8858.07819254496,8694.196824778528,8599.48460983602,8281.397696723598,9310.4339,811.9797000000001,1.8673860618198307e-05,1.767823828212262e-05,2.0367765632974165e-05,2.733119193082148e-05,0.00016184551646154736,8.381568783370632e-05,5.257213260446779e-05
0.2390000000000001,1137.0216273876008,1127.9718000000003,1144.5345752866829,1202.6366,8849.304948207098,8686.617076443541,8597.046211265795,8318.119079772938,9299.767500000002,808.4824390750474,1.8561336504754746e-05,1.7690934817120372e-05,2.0395437424157656e-05,2.738194388109553e-05,0.00016143923345359943,8.386241905223926e-05,5.245837174239162e-05
0.24,1135.9716,1121.3053000000002,1144.1325741480766,1203.5451921907954,8843.159678244843,8672.609502828025,8594.531793745951,8353.283814367633,9290.434400000002,808.8343117547172,1.84507961066467e-05,1.770780863307272e-05,2.0430300687119002e-05,2.7428952064050683e-05,0.00016101174630718862,8.39077278035824e-05,5.2343601950269026e-05
0.2410000000000001,1135.9716,1127.9718000000003,1141.6842268314965,1207.4287709754606,8833.235688386878,8660.829955254467,8593.33557019818,8392.331949902033,9287.7678,813.9269353633749,1.8342134259000254e-05,1.7728522299875693e-05,2.047179267178959e-05,2.747253466447532e-05,0.00016056399192509828,8.395158737157328e-05,5.2227723731463085e-05
0.242,1134.6894909538173,1123.9719,1144.2455218594973,1209.8489860114119,8826.546326908398,8652.869577525964,8588.756926342941,8432.251060800454,9269.1016,811.3179453226136,1.823524579694156e-05,1.7752738387425278e-05,2.051935062810074e-05,2.7513009867157786e-05,0.00016009690721011216,8.399397104004946e-05,5.211063758933702e-05
0.2430000000000001,1134.6383,1118.6387000000002,1145.512120451702,1211.9105058945347,8820.13941503365,8646.530076372728,8584.20600947943,8471.685611655968,9262.4351,810.6464000000001,1.8130025555596706e-05,1.7780119465617506e-05,2.0572411805983847e-05,2.7550695856886468e-05,0.0001596114290650136,8.403485209284847e-05,5.199224402725393e-05
0.244,1133.5927967940197,1121.3053000000002,1149.2999299522269,1209.303110883774,8815.98932811682,8637.85793192258,8583.7854,8513.91942252072,9266.435000000001,813.852500324562,1.8026368370091852e-05,1.7810328104348372e-05,2.063041345537023e-05,2.758591081844972e-05,0.0001591084943925863,8.407420381380787e-05,5.187244354857703e-05
0.2450000000000001,1135.9491537901074,1115.9721,1153.241247284812,1211.907452523566,8810.197362667848,8631.098083816345,8583.7854,8557.54837939169,9249.102100000002,808.3615348164648,1.792416907555307e-05,1.7843026873513904e-05,2.0692792826191282e-05,2.7618972936635915e-05,0.00015858904009561365,8.411199948676518e-05,5.175113665666941e-05
0.246,1136.774559157107,1111.9722000000002,1153.3045000000002,1207.7439855996029,8801.923971834894,8622.83928780655,8584.525427996223,8597.864053330472,9242.4356,810.0742484664768,1.7823322507106526e-05,1.7877878343010092e-05,2.075898716837833e-05,2.7650200396233412e-05,0.0001580540030768794,8.414821239555798e-05,5.1628153446244834e-05
