t_s,pivc_mmhg,psvc_mmhg,prpa_mmhg,qrpa_ml_per_s,plpa_mmhg,qlpa_ml_per_s
0.036000000000000004,8.973449336233406,8.821645541138528,8.627465686642164,25.2728,7.722568064201605,14.1509
0.037,8.986199654991374,8.841821045526139,8.645016125403135,25.3749,7.733293332333307,14.1949
0.038,8.999024975624389,8.8619215480387,8.66241656041401,25.4762,7.744168604215105,14.2398
0.039,9.012000300007498,8.882022050551264,8.679666991674791,25.5763,7.755268881722042,14.2853
0.04,9.025125628140703,8.901972549313733,8.696617415435385,25.6749,7.7665191629790735,14.331299999999999
0.041,9.03817595439886,8.921848046201154,8.713342833570838,25.7719,7.777769444236105,14.3776
0.042,9.051301282532062,8.941498537463437,8.729693242331058,25.8673,7.789094727368183,14.4241
0.043000000000000003,9.064276606915172,8.961074026850671,8.745818645466136,25.960900000000002,7.800420010500262,14.4706
0.044,9.077176929423235,8.980424510612764,8.76156903922598,26.052799999999998,7.811670291757293,14.517100000000001
0.045,9.089852246306156,8.999549988749719,8.77716942923573,26.1432,7.822920573014325,14.5634
0.046,9.102227555688891,9.018450461261532,8.792469811745292,26.2322,7.834170854271356,14.609499999999999
0.047,9.114227855696392,9.03720093002325,8.807620190504762,26.3202,7.8452711317782935,14.6555
0.048,9.125853146328657,9.055651391284782,8.822545563639089,26.4074,7.856371409285232,14.7012
0.049,9.137028425710643,9.073951848796218,8.837470936773418,26.4941,7.867396684917122,14.7468
0.05,9.147603690092252,9.092027300682517,8.852396309907746,26.5806,7.878421960549013,14.792200000000001
0.051000000000000004,9.15772894322358,9.109802745068626,8.867321683042075,26.6673,7.889372234305858,14.8376
0.052000000000000005,9.167179179479486,9.127278181954548,8.882247056176404,26.7545,7.9003225080627,14.8829
0.053,9.176029400735018,9.14452861321533,8.897397434935872,26.842299999999998,7.911347783694591,14.9284
0.054,9.184204605115127,9.161479036975923,8.912622815570389,26.9311,7.922448061201529,14.9742
0.055,9.191779794494861,9.177979449486237,8.928073201830045,27.0209,7.933548338708467,15.0203
0.056,9.198754968874221,9.19417985449636,8.943748593714842,27.1118,7.944798619965498,15.066799999999999
0.057,9.205205130128252,9.209855246381158,8.959573989349732,27.203799999999998,7.956198904972624,15.1138
0.058,9.211055276381908,9.225005625140628,8.975549388734718,27.296799999999998,7.9677491937298415,15.1615
0.059000000000000004,9.21653041326033,9.239630990774769,8.991674791869794,27.3904,7.979449486237156,15.2099
0.06,9.221480537013424,9.25350633765844,9.00787519687992,27.4845,7.991299782494562,15.2589
0.061,9.226205655141378,9.266706667666691,9.024075601890047,27.5786,8.003375084377108,15.308700000000002
0.062,9.230630765769144,9.279081977049426,9.040126003150078,27.6722,8.01560039000975,15.3591
0.063,9.234905872646815,9.290632265806645,9.056101402535063,27.764799999999997,8.027975699392483,15.4102
0.064,9.239105977649439,9.301132528313206,9.071701792544813,27.855600000000003,8.040501012525311,15.461800000000002
0.065,9.243306082652065,9.31065776644416,9.086927173179328,27.944,8.053101327533188,15.5138
0.066,9.247656191404785,9.319057976449411,9.10155253881347,28.0293,8.065851646291158,15.5661
0.067,9.252231305782644,9.326333158328957,9.115577889447236,28.1106,8.078526963174077,15.6183
0.068,9.257031425785645,9.332408310207754,9.128778219455485,28.1874,8.091202280057,15.670300000000001
0.069,9.262206555163878,9.337133428335708,9.141003525088125,28.2587,8.103727593189829,15.7219
0.07,9.267756693917347,9.340658516462911,9.152253806345158,28.323900000000002,8.116102902572562,15.772699999999999
0.07100000000000001,9.273831845796144,9.342908572714318,9.162304057601439,28.3824,8.12817820445511,15.8224
0.07200000000000001,9.280357008925222,9.343958598964972,9.171079276981924,28.433600000000002,8.13995349883747,15.870800000000001
0.073,9.287407185179628,9.343658591464786,9.178579464486612,28.477,8.151353783844595,15.917600000000002
0.074,9.294982374559362,9.342233555838895,9.184654616365407,28.5123,8.162229055726392,15.9623
0.075,9.303082577064426,9.339608490212255,9.189304732618314,28.5392,8.172579314482862,16.0049
0.076,9.31163279081977,9.335933398334957,9.192454811370284,28.5577,8.182329558238955,16.0449
0.077,9.320633015825395,9.331283282082051,9.19417985449636,28.567700000000002,8.191404785119628,16.0822
0.078,9.330008250206255,9.325733143328582,9.194404860121503,28.569300000000002,8.19972999324983,16.116600000000002
0.079,9.339683492087302,9.31950798769969,9.193354833870846,28.563000000000002,8.207305182629565,16.1479
0.08,9.349583739593488,9.31260781519538,9.190954773869347,28.5491,8.214055351383784,16.1759
0.081,9.359558988974724,9.305332633315832,9.187354683867095,28.5281,8.220055501387534,16.200599999999998
0.082,9.369609240231005,9.29768244206105,9.182629565739143,28.5008,8.225155628890722,16.222099999999998
0.083,9.379509487737192,9.289882247056175,9.177004425110626,28.468,8.229505737643441,16.2402
0.084,9.389184729618238,9.2820820520513,9.170554263856596,28.430400000000002,8.233030825770644,16.255
0.085,9.398559963999098,9.274431860796518,9.163429085727142,28.3892,8.235805895147378,16.2668
0.08600000000000001,9.40741018525463,9.26715667891697,9.155853896347407,28.345200000000002,8.237830945773643,16.2756
0.08700000000000001,9.41581039525988,9.260331508287706,9.147978699467487,28.299599999999998,8.239180979524487,16.2816
0.088,9.423460586514663,9.254106352658814,9.140028500712518,28.2534,8.239930998274957,16.2852
0.089,9.430360759018974,9.248631215780392,9.132153303832593,28.2076,8.240156003900097,16.2865
0.09,9.436360909022726,9.244056101402535,9.12457811445286,28.1634,8.239930998274957,16.285899999999998
0.091,9.441536038400958,9.240381009525237,9.11737793444836,28.121599999999997,8.239255981399534,16.2837
0.092,9.445661141528538,9.237830945773643,9.110852771319282,28.083299999999998,8.238280957023925,16.2803
0.093,9.448811220280506,9.236405910147752,9.105002625065627,28.0493,8.237155928898222,16.276
0.094,9.450911272781818,9.236180904522612,9.099977499437484,28.0203,8.235805895147378,16.2711
0.095,9.451961299032476,9.23715592889822,9.095927398184953,27.9969,8.234455861396535,16.266
0.096,9.451961299032476,9.239330983274582,9.093002325058125,27.979699999999998,8.233180829520737,16.2611
0.097,9.450986274656865,9.242781069526737,9.091202280057,27.968999999999998,8.232055801395033,16.2567
0.098,9.449036225905646,9.247356183904596,9.090527263181578,27.9651,8.231080777019425,16.2531
0.099,9.446261156528912,9.252981324533113,9.090977274431859,27.968,8.230330758268956,16.2505
0.1,9.442586064651616,9.259656491412283,9.092702317557938,27.977700000000002,8.22995574889372,16.249200000000002
0.101,9.438235955898897,9.267306682667066,9.095477386934673,27.9939,8.22995574889372,16.2494
0.10200000000000001,9.433285832145803,9.275706892672316,9.099302482562063,28.0163,8.230405760144002,16.2512
0.10300000000000001,9.42781069526738,9.284782119552988,9.104177604440109,28.0446,8.231230780769518,16.2548
0.10400000000000001,9.421885547138677,9.294382359558988,9.10995274881872,28.0779,8.232580814520363,16.2602
0.105,9.415735393384834,9.304432610815269,9.116477911947797,28.1158,8.234305857646442,16.2675
0.106,9.409360234005849,9.314632865821645,9.123603090077252,28.1575,8.236555913897847,16.2766
0.107,9.40291007275182,9.324908122703066,9.131253281332032,28.201999999999998,8.239180979524487,16.287499999999998
0.108,9.396459911497786,9.335108377709442,9.139278481962048,28.2486,8.24225605640141,16.3
0.109,9.390234755868896,9.345083627090677,9.147528688217205,28.2963,8.245706142653566,16.3141
