time_s,ascending_aorta_flow_ml_s,ascending_aorta_pressure_mmHg
0.061000000000000054,-3.0293753095479765,41.33101751382224
0.062000000000000055,-2.798585944929746,41.430756968091885
0.06300000000000006,-2.5065755927721893,41.53600935174938
0.06400000000000006,-2.1554526668919767,41.64893930412887
0.06500000000000006,-1.7473255811057777,41.76191301499312
0.06600000000000006,-1.2843027492302639,41.896889840069754
0.06700000000000006,-0.7684925850821056,42.03956098255956
0.06800000000000006,-0.20200350247797383,42.19944577631289
0.06900000000000006,0.41305608476546185,42.37561299461717
0.07000000000000006,1.0745777628315305,42.58031635044492
0.07100000000000006,1.7804531179035608,42.817516061091354
0.07200000000000006,2.528573736164882,43.05714119019862
0.07300000000000006,3.316831203798825,43.29461706457525
0.07400000000000007,4.1431171069887185,43.54516106522018
0.07500000000000007,5.005323031917893,43.8158204093968
0.07600000000000007,5.901340564769674,44.057053793018945
0.07700000000000007,6.829061291727395,44.32639086085703
0.07800000000000007,7.786376798974384,44.59656126173988
0.07900000000000007,8.771178672693969,44.89372610589037
0.08000000000000007,9.781358499069484,45.18049167815395
0.08100000000000007,10.814807864284253,45.48653860592801
0.08200000000000007,11.86941835452161,45.81108286001388
0.08300000000000007,12.943081555964877,46.14606944542112
0.08400000000000007,14.033689054797396,46.46036164570305
0.08500000000000008,15.139132437202484,46.81977941568905
0.08600000000000008,16.257303289363474,47.15864879068265
0.08700000000000008,17.3860931974637,47.4974204238185
0.08800000000000008,18.523442108843106,47.870173123421026
0.08900000000000008,19.784777788716333,48.25390898483104
0.09000000000000008,21.268227944788062,48.63617269544942
0.09100000000000008,22.959663829834433,49.01647935573497
0.09200000000000008,24.844956696631574,49.41644777624578
0.09300000000000008,26.909977797955626,49.809311848300574
0.09400000000000008,29.140598386582724,50.189825015599325
0.09500000000000008,31.522689715288998,50.604525342132774
0.09600000000000009,34.0421230368506,51.030933603438946
0.09700000000000009,36.684769604043645,51.43986827094631
0.09800000000000009,39.43650066964428,51.85487421615828
0.09900000000000009,42.283187486428645,52.28452978276224
0.10000000000000009,45.210701307172876,52.70663100220629
0.10100000000000009,48.204913384653096,53.14671331422907
0.10200000000000009,51.25169497164545,53.5755466360707
0.10299999999999998,54.33691732092608,53.98623197249479
0.10399999999999998,57.446451685271114,54.426322095829
0.10499999999999998,60.56616931745668,54.84719164829192
0.10599999999999998,63.681941470258934,55.26717458947419
0.10699999999999998,66.779639396454,55.698149204360064
0.10799999999999998,69.84513434881801,56.103920239688044
0.10899999999999999,72.86429758012711,56.497611202868
0.10999999999999999,75.82300034315743,56.88102752661391
0.11099999999999999,78.7071138906851,57.27066558545936
0.11199999999999999,81.50250947548626,57.65570553275405
0.11299999999999999,84.19505835033706,58.04204667582767
0.11399999999999999,86.77063176801363,58.44574388355218
0.11499999999999999,89.2151009812921,58.853042885571114
0.11599999999999999,91.5143372429486,59.25432555707884
0.11699999999999999,93.65468634721293,59.65340118542497
0.118,95.72092892451208,60.03552714276222
0.119,97.781929116652,60.391071422022094
0.12,99.83565230126777,60.7339295932756
0.121,101.88006385599454,61.07620855992349
0.122,103.91312915846743,61.41055205834701
0.123,105.93281358632154,61.74139452937273
0.124,107.93708251719201,62.03469932622564
