target_id,source_id,source_type,canonical_name,quantity,statistic,value,unit,source_file,source_columns,cycle_length_s,notes
paper_model.ascending_aorta_pressure.mean,paper_model,paper_output,ascending_aorta_pressure,pressure,mean,50.66208569549903,mmHg,paper_results/model.csv,"[""paao_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.ascending_aorta_flow.beat_integral,paper_model,paper_output,ascending_aorta_flow,flow,beat_integral,35.717627198440006,ml/beat,paper_results/model.csv,"[""qaao_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.aortic_arch_pressure.mean,paper_model,paper_output,aortic_arch_pressure,pressure,mean,50.32511564537365,mmHg,paper_results/model.csv,"[""parch_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.descending_aorta_pressure.mean,paper_model,paper_output,descending_aorta_pressure,pressure,mean,50.058321650348944,mmHg,paper_results/model.csv,"[""pdao_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.descending_aorta_flow.beat_integral,paper_model,paper_output,descending_aorta_flow,flow,beat_integral,15.240914427999996,ml/beat,paper_results/model.csv,"[""qdao_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.ivc_pressure.mean,paper_model,paper_output,ivc_pressure,pressure,mean,8.729534147444594,mmHg,paper_results/model.csv,"[""pivc_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.ivc_flow.beat_integral,paper_model,paper_output,ivc_flow,flow,beat_integral,15.252513600000015,ml/beat,paper_results/model.csv,"[""qivc_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.svc_pressure.mean,paper_model,paper_output,svc_pressure,pressure,mean,8.623401424196443,mmHg,paper_results/model.csv,"[""psvc_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.svc_flow.beat_integral,paper_model,paper_output,svc_flow,flow,beat_integral,20.177543310000026,ml/beat,paper_results/model.csv,"[""qsvc_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.rpa_pressure.mean,paper_model,paper_output,rpa_pressure,pressure,mean,8.577487951184793,mmHg,paper_results/model.csv,"[""prpa_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.rpa_flow.beat_integral,paper_model,paper_output,rpa_flow,flow,beat_integral,22.298388100000025,ml/beat,paper_results/model.csv,"[""qrpa_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.lpa_pressure.mean,paper_model,paper_output,lpa_pressure,pressure,mean,7.925917291288925,mmHg,paper_results/model.csv,"[""plpa_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.lpa_flow.beat_integral,paper_model,paper_output,lpa_flow,flow,beat_integral,13.458044500000016,ml/beat,paper_results/model.csv,"[""qlpa_ml_per_s"", ""time_s""]",0.8580000000000008,Periodic trapezoid integral over one beat.
paper_model.ventricle_pressure.mean,paper_model,paper_output,ventricle_pressure,pressure,mean,28.72226468065268,mmHg,paper_results/model.csv,"[""pv_mmhg""]",0.8580000000000008,Cycle mean pressure.
paper_model.atrium_pressure.mean,paper_model,paper_output,atrium_pressure,pressure,mean,4.108471157342657,mmHg,paper_results/model.csv,"[""pa_mmhg""]",0.8580000000000008,Cycle mean pressure.
