time_s,upper_body_arterial_pressure_mmHg,upper_body_venous_pressure_mmHg,lower_body_arterial_pressure_mmHg,lower_body_venous_pressure_mmHg
0.24,2.337566,0.341704,2.744917,0.727198
0.241,2.364435,0.347578,2.781827,0.747191
0.242,2.391251,0.353428,2.818665,0.767281
0.243,2.418014,0.359255,2.855428,0.78747
0.244,2.444722,0.365061,2.892113,0.807755
0.245,2.471376,0.370847,2.928719,0.828137
0.246,2.497973,0.376617,2.965244,0.848614
0.247,2.524514,0.38237,3.001685,0.869182
0.248,2.550997,0.388107,3.038043,0.889838
0.249,2.577421,0.393827,3.074316,0.910578
0.25,2.603784,0.399532,3.110504,0.931397
0.251,2.630084,0.405219,3.146607,0.95229
0.252,2.656319,0.410888,3.182624,0.973254
0.253,2.682487,0.416536,3.218557,0.994283
0.254,2.708586,0.422164,3.254404,1.015373
0.255,2.734612,0.427769,3.290166,1.036521
0.256,2.760563,0.43335,3.325842,1.057723
0.257,2.786435,0.438906,3.361433,1.078979
0.258,2.812226,0.444436,3.396936,1.100288
0.259,2.837932,0.449939,3.432352,1.121648
0.26,2.86355,0.455416,3.467678,1.14306
0.261,2.889077,0.460866,3.502912,1.164525
0.262,2.91451,0.466289,3.538052,1.186044
0.263,2.939845,0.471687,3.573095,1.207618
0.264,2.965081,0.47706,3.608037,1.229247
0.265,2.990214,0.48241,3.642876,1.250933
0.266,3.015243,0.487737,3.677605,1.272675
0.267,3.040165,0.493044,3.712223,1.294472
0.268,3.064978,0.49833,3.746722,1.316324
0.269,3.089681,0.503598,3.7811,1.338229
0.27,3.114272,0.508848,3.815352,1.360184
0.271,3.138751,0.514081,3.849472,1.382186
0.272,3.163117,0.519297,3.883456,1.404233
0.273,3.187369,0.524497,3.9173,1.42632
0.274,3.211507,0.529679,3.951,1.448444
0.275,3.235531,0.534845,3.984551,1.470602
0.276,3.259439,0.539992,4.017951,1.492791
0.277,3.283233,0.54512,4.051197,1.515006
0.278,3.306912,0.550229,4.084285,1.537246
0.279,3.330476,0.555318,4.117215,1.559507
0.28,3.353924,0.560385,4.149984,1.581788
0.281,3.377256,0.56543,4.182592,1.604088
0.282,3.400472,0.570454,4.215037,1.626404
0.283,3.423571,0.575455,4.24732,1.648737
0.284,3.446552,0.580434,4.27944,1.671085
0.285,3.469413,0.585391,4.311397,1.693449
0.286,3.492154,0.590327,4.343193,1.715828
0.287,3.514773,0.595243,4.374828,1.738223
0.288,3.537268,0.600138,4.406302,1.760632
0.289,3.559637,0.605015,4.437615,1.783056
0.29,3.581879,0.609874,4.468769,1.805495
0.291,3.603991,0.614715,4.499764,1.827946
0.292,3.625971,0.61954,4.530599,1.850409
0.293,3.647816,0.624348,4.561275,1.872882
0.294,3.669525,0.629141,4.59179,1.895363
0.295,3.691096,0.633919,4.622144,1.917849
0.296,3.712526,0.638681,4.652335,1.940339
0.297,3.733814,0.643428,4.682361,1.962828
0.298,3.754958,0.64816,4.71222,1.985316
0.299,3.775957,0.652876,4.74191,2.007798
0.3,3.796809,0.657576,4.771428,2.030273
0.301,3.817513,0.66226,4.80077,2.052737
0.302,3.83807,0.666927,4.829933,2.07519
0.303,3.858478,0.671577,4.858915,2.097629
