time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s,ventricle_volume_ml,mitral_valve_flow_ml_s,pulmonary_inflow_qin5_ml_s,ventricle_pressure_mmHg,atrium_pressure_mmHg,atrium_volume_ml
0.7090000000000001,43.16117902947573,-0.00202905,43.16117902947573,43.176104402610065,-6.311710000000001,9.035025875646891,17.7176,8.61126528163204,25.8277,8.89267231680792,23.7194,9.000750018750468,17.2068,69.006785,36.668415,40.926276,3.802919,4.814402,17.925677
0.71,43.15292882322058,-0.0020291500000000004,43.15285382134553,43.1678541963549,-6.308120000000001,9.064651616290405,17.711100000000002,8.613815345383633,25.336100000000002,8.874371859296481,23.597,8.951173779344483,16.9934,69.043712,37.181879,40.590392,3.805319,4.817161,17.929509
0.7110000000000001,43.144678616965415,-0.0020292500000000002,43.144603615090375,43.159603990099754,-6.30454,9.093377334433361,17.7027,8.616215405385134,24.8836,8.855771394284856,23.4779,8.901672541813543,16.783900000000003,69.081156,37.70043,40.261823,3.807752,4.819025,17.932492
0.712,43.136428410710266,-0.00202935,43.13635340883521,43.15135378384459,-6.300960000000001,9.120528013200328,17.6918,8.61846546163654,24.4679,8.837095927398185,23.3631,8.85352133803345,16.5834,69.11912,38.223441,39.946495,3.810219,4.820095,17.934631
0.7130000000000001,43.128178204455104,-0.00202945,43.128103202580064,43.14317857946448,-6.29739,9.145353633840845,17.6781,8.620565514137853,24.085300000000004,8.8187204680117,23.253800000000002,8.807995199879995,16.396,69.157609,38.750324,39.649872,3.812721,4.820457,17.93594
0.714,43.119927998199955,-0.00202956,43.1198529963249,43.13492837320933,-6.293830000000001,9.167404185104626,17.6615,8.622440561014026,23.7312,8.800870021750544,23.1518,8.765769144228605,16.224600000000002,69.196626,39.28052,39.376465,3.815256,4.820184,17.936434
0.7150000000000001,43.11167779194479,-0.0020296600000000004,43.11167779194479,43.12667816695417,-6.2902700000000005,9.186229655741393,17.6428,8.62424060601515,23.400900000000004,8.784069601740043,23.0588,8.727368184204604,16.0707,69.236175,39.813502,39.129504,3.817827,4.819341,17.936137
0.716,43.103502587564684,-0.00202976,43.10342758568964,43.11842796069901,-6.28672,9.201530038250954,17.6228,8.625965649141227,23.0895,8.768544213605338,22.9764,8.692942323558087,15.934400000000002,69.276259,40.348766,38.910804,3.820432,4.817982,17.935073
0.7170000000000001,43.09525238130953,-0.00202986,43.09517737943448,43.11025275631891,-6.28317,9.213230330758268,17.602700000000002,8.62761569039226,22.791800000000002,8.754668866721667,22.9063,8.662191554788869,15.8146,69.316878,40.88583,38.720817,3.823072,4.816158,17.933268
0.718,43.08700217505437,-0.0020299700000000003,43.086927173179326,43.102002550063744,-6.279630000000001,9.221180529513237,17.583399999999997,8.62926573164329,22.503200000000003,8.742668566714167,22.8495,8.634665866646666,15.709299999999999,69.358035,41.424232,38.558837,3.825746,4.813909,17.93075
0.7190000000000001,43.07875196879921,-0.0020300699999999997,43.07867696692417,43.093827345683636,-6.2761000000000005,9.225605640141003,17.565900000000003,8.630840771019274,22.218600000000002,8.73276831920798,22.807100000000002,8.609765244131102,15.616200000000003,69.399732,41.96353,38.423304,3.828456,4.811271,17.927544
0.72,43.07050176254406,-0.00203017,43.070426760669015,43.08557713942849,-6.272570000000001,9.22643066076652,17.550900000000002,8.632490812270307,21.9331,8.72504312607815,22.779700000000002,8.586889672241806,15.5325,69.441967,42.503295,38.31215,3.831201,4.808278,17.923676
0.7210000000000001,43.0622515562889,-0.00203028,43.0622515562889,43.07740193504837,-6.26904,9.223880597014924,17.538899999999998,8.634140853521338,21.6418,8.719642991074775,22.7675,8.565439135978398,15.455600000000002,69.484743,43.043114,38.223122,3.833981,4.804955,17.919168
0.722,43.05407635190879,-0.00203039,43.05400135003375,43.069151728793216,-6.26553,9.218105452636316,17.5298,8.635865896647417,21.339100000000002,8.716567914197855,22.770599999999998,8.54473861846546,15.3834,69.528058,43.582585,38.154047,3.836796,4.801327,17.914042
0.7230000000000001,43.04582614565364,-0.0020304900000000002,43.04575114377859,43.06097652441311,-6.262020000000001,9.209405235130879,17.5234,8.637740943523587,21.0196,8.715817895447385,22.789,8.524413110327757,15.314,69.571913,44.121319,38.103009,3.839647,4.797413,17.908317
0.724,43.03757593939848,-0.0020306,43.03757593939848,43.05272631815795,-6.25851,9.198004950123751,17.5193,8.639690992274806,20.6779,8.71739293482337,22.822400000000002,8.504087602190053,15.2461,69.616305,44.658935,38.068427,3.842532,4.793234,17.902011
