time_s,ascending_aorta_pressure_mmHg,ascending_aorta_flow_ml_s,aortic_arch_pressure_mmHg,descending_aorta_pressure_mmHg,descending_aorta_flow_ml_s,ivc_pressure_mmHg,ivc_flow_ml_s,svc_pressure_mmHg,svc_flow_ml_s,rpa_pressure_mmHg,rpa_flow_ml_s,lpa_pressure_mmHg,lpa_flow_ml_s
0.284,68.42196054901372,131.786,67.74394359858995,68.08587714692867,79.9642,8.904597614940373,17.618800000000004,8.800270006750168,23.7636,8.75361884047101,26.0062,8.113402835070875,15.738499999999998
0.2850000000000001,68.30510762769069,130.945,67.64584114602864,68.00742518562964,79.5785,8.904597614940373,17.6293,8.800345008625214,23.755300000000002,8.75361884047101,26.0063,8.113402835070875,15.738400000000002
0.286,68.1859296482412,130.09,67.54578864471611,67.92897322433059,79.19330000000001,8.90467261681542,17.6398,8.800420010500261,23.746900000000004,8.75361884047101,26.0064,8.113402835070875,15.738400000000002
0.2870000000000001,68.06457661441534,129.223,67.44356108902721,67.85052126303157,78.80890000000001,8.904747618690466,17.6503,8.800495012375308,23.738500000000002,8.75361884047101,26.0065,8.113402835070875,15.738400000000002
0.288,67.94127353183829,128.346,67.33930848271207,67.77206930173253,78.425,8.904747618690466,17.6608,8.800570014250356,23.7301,8.753693842346058,26.0066,8.113402835070875,15.738400000000002
0.2890000000000001,67.81609540238506,127.46000000000001,67.2329558238956,67.69354233855846,78.0415,8.904822620565513,17.671300000000002,8.800645016125403,23.721700000000002,8.753693842346058,26.006800000000002,8.113402835070875,15.738400000000002
0.29,67.68941723543088,126.568,67.12457811445285,67.61479036975923,77.6577,8.90489762244056,17.681800000000003,8.80072001800045,23.7132,8.753693842346058,26.0069,8.113402835070875,15.738400000000002
0.2910000000000001,67.56146403660091,125.67200000000001,67.01417535438385,67.53566339158479,77.2733,8.90489762244056,17.6923,8.800795019875496,23.704700000000003,8.753768844221105,26.007,8.113402835070875,15.738400000000002
0.292,67.43253581339533,124.774,66.90189754743868,67.45593639840995,76.8874,8.904972624315606,17.7028,8.800870021750544,23.6962,8.753768844221105,26.0072,8.113402835070875,15.738400000000002
0.2930000000000001,67.30285757143928,123.877,66.78789469736742,67.37553438835971,76.4992,8.905047626190653,17.7133,8.80094502362559,23.6876,8.753768844221105,26.0074,8.113402835070875,15.738400000000002
0.294,67.17272931823294,122.982,66.6723168079202,67.2940823520588,76.1078,8.905122628065701,17.7238,8.801020025500637,23.679000000000002,8.753843846096153,26.007600000000004,8.113402835070875,15.738400000000002
0.2950000000000001,67.04237605940148,122.09100000000001,66.55531388284706,67.21143028575713,75.7125,8.905197629940748,17.7344,8.801095027375684,23.6704,8.753843846096153,26.0078,8.113402835070875,15.738499999999998
0.296,66.91209780244505,121.208,66.43718592964824,67.12727818195454,75.3121,8.905272631815794,17.7449,8.80117002925073,23.661700000000003,8.7539188479712,26.008,8.113402835070875,15.738499999999998
0.2969999999999999,66.78211955298882,120.33200000000001,66.31800795019875,67.04147603690092,74.906,8.905347633690841,17.7554,8.801245031125777,23.653,8.7539188479712,26.008200000000002,8.113402835070875,15.738499999999998
0.298,66.65259131478287,119.465,66.19815495387384,66.95372384309607,74.4933,8.905422635565888,17.7659,8.80139503487587,23.6442,8.753993849846246,26.0085,8.113402835070875,15.7386
0.2989999999999999,66.52358808970224,118.60900000000001,66.0777769444236,66.86394659866495,74.0732,8.905497637440934,17.776500000000002,8.801470036750917,23.6353,8.753993849846246,26.0087,8.113477836945922,15.7386
0.3,66.39525988149703,117.763,65.95709892747318,66.7718442961074,73.64540000000001,8.905572639315983,17.787000000000003,8.801545038625965,23.626400000000004,8.754068851721293,26.009000000000004,8.113477836945922,15.7387
0.3009999999999999,66.26768169204229,116.927,65.83627090677267,66.67749193729843,73.20930000000001,8.90564764119103,17.7975,8.801620040501012,23.6175,8.75414385359634,26.009200000000003,8.113477836945922,15.7388
0.302,66.14077851946297,116.102,65.7155178879472,66.58073951848795,72.7647,8.905722643066076,17.808,8.801695042376059,23.6085,8.75414385359634,26.0095,8.113477836945922,15.7389
0.3029999999999999,66.01455036375908,115.28500000000001,65.59498987474687,66.48151203780094,72.3117,8.905797644941122,17.8185,8.801770044251105,23.5994,8.754218855471386,26.009800000000002,8.113477836945922,15.7389
0.304,65.88884722118051,114.477,65.47483687092176,66.37988449711243,71.8502,8.905947648691217,17.829,8.801920048001199,23.590300000000003,8.754218855471386,26.0101,8.11355283882097,15.739
0.3049999999999999,65.76359408985225,113.675,65.35505887647192,66.2760069001725,71.3807,8.906022650566264,17.8395,8.801995049876245,23.581100000000003,8.754293857346433,26.0104,8.11355283882097,15.7391
0.306,65.63849096227405,112.878,65.23573089327232,66.16995424885621,70.9037,8.90609765244131,17.85,8.802070051751292,23.5718,8.75436885922148,26.010700000000003,8.11355283882097,15.7392
0.3069999999999999,65.51346283657091,112.08300000000001,65.11692792319808,66.06187654691367,70.4199,8.906172654316357,17.8604,8.802145053626338,23.5625,8.754443861096528,26.011,8.113627840696017,15.7393
0.308,65.38813470336758,111.289,64.9985749643741,65.95199879996999,69.93,8.906247656191404,17.8709,8.802295057376433,23.5531,8.754443861096528,26.011300000000002,8.113627840696017,15.739400000000002
0.3089999999999999,65.26243156078901,110.492,64.88059701492537,65.84062101552539,69.43509999999999,8.906397659941497,17.881300000000003,8.80237005925148,23.5437,8.754518862971574,26.0116,8.113627840696017,15.739600000000001
0.31,65.13590339758493,109.691,64.76291907297681,65.72796819920498,68.93620000000001,8.906472661816544,17.8918,8.802445061126528,23.5342,8.75459386484662,26.012,8.113702842571064,15.739700000000003
0.3109999999999999,65.0084752118803,108.884,64.64531613290332,65.61441536038402,68.4345,8.906547663691592,17.9022,8.802595064876622,23.5246,8.754668866721667,26.012300000000003,8.113702842571064,15.739800000000002
0.312,64.8798469961749,108.069,64.52771319282981,65.50011250281256,67.931,8.906622665566639,17.912599999999998,8.802670066751668,23.5149,8.754668866721667,26.0127,8.11377784444611,15.739900000000002
0.3129999999999999,64.74971874296857,107.24300000000001,64.40988524713117,65.38543463586589,67.4269,8.906772669316732,17.923000000000002,8.802745068626715,23.505200000000002,8.754743868596714,26.013,8.11377784444611,15.7401
0.314,64.6180904522613,106.406,64.2916822920573,65.27075676891921,66.9234,8.906847671191779,17.9333,8.80289507237681,23.4955,8.75481887047176,26.0134,8.113852846321157,15.7402
0.3149999999999999,64.48466211655291,105.55600000000001,64.17287932198305,65.15622890572264,66.42139999999999,8.906922673066825,17.9437,8.802970074251856,23.4856,8.754893872346807,26.013700000000004,8.113852846321157,15.7404
0.316,64.34943373584338,104.693,64.05325133128328,65.04215105377634,65.92190000000001,8.906997674941872,17.954,8.803045076126903,23.4758,8.754968874221854,26.0141,8.113927848196203,15.7405
0.3169999999999999,64.2123303082577,103.816,63.932648316207896,64.92874821870546,65.4257,8.907147678691965,17.9643,8.803195079876996,23.4658,8.7550438760969,26.014400000000002,8.113927848196203,15.7407
0.318,64.07335183379584,102.926,63.81084527113177,64.81609540238506,64.9334,8.907222680567013,17.9746,8.803270081752043,23.4558,8.7550438760969,26.0148,8.11400285007125,15.7408
0.3189999999999999,63.93257331433285,102.025,63.6876921923048,64.70441761044026,64.44550000000001,8.90729768244206,17.984900000000003,8.803420085502136,23.445700000000002,8.755118877971949,26.015200000000004,8.11400285007125,15.741000000000001
0.32,63.79006975174378,101.11200000000001,63.56311407785195,64.59371484287107,63.96210000000001,8.907372684317107,17.9951,8.803495087377183,23.4356,8.755193879846995,26.0155,8.114077851946297,15.741100000000001
0.3209999999999999,63.64614115352884,100.18900000000001,63.43703592589814,64.48398709967748,63.483200000000004,8.907447686192155,18.005399999999998,8.803645091127278,23.425500000000003,8.755268881722042,26.015900000000002,8.114077851946297,15.741300000000003
0.322,63.50093752343808,99.25959999999999,63.30930773269332,64.37530938273456,63.008900000000004,8.907522688067202,18.015600000000003,8.803720093002324,23.4152,8.755343883597089,26.0163,8.114152853821343,15.741500000000002
0.3229999999999999,63.35468386709667,98.325,63.180079501987535,64.26738168454212,62.5385,8.907597689942248,18.0257,8.803870096752417,23.405,8.755418885472135,26.0166,8.114152853821343,15.7417
0.324,63.207680192004794,97.3879,63.04927623190579,64.16027900697517,62.0716,8.907672691817295,18.0359,8.803945098627464,23.394700000000004,8.755418885472135,26.017,8.114227855696392,15.7418
0.3249999999999999,63.060226505662634,96.4512,62.917047926198144,64.05362634065851,61.60750000000001,8.907747693692341,18.046,8.804095102377557,23.3843,8.755493887347182,26.017400000000002,8.114227855696392,15.742
0.326,62.91269781744543,95.51740000000001,62.78346958673966,63.94734868371709,61.1452,8.907822695567388,18.0561,8.804170104252604,23.373900000000003,8.75556888922223,26.0177,8.11430285757144,15.7422
0.3269999999999999,62.76546913672841,94.5894,62.64869121728043,63.84099602490062,60.68370000000001,8.907897697442436,18.066200000000002,8.8043201080027,23.363500000000002,8.755643891097277,26.0181,8.114377859446487,15.742400000000002
0.328,62.61869046726168,93.6697,62.51301282532063,63.73449336233405,60.222,8.907972699317483,18.076200000000004,8.804395109877747,23.353,8.755718892972324,26.0185,8.114377859446487,15.742600000000001
0.3289999999999999,62.472811820295505,92.7604,62.37665941648541,63.62746568664217,59.75900000000001,8.90804770119253,18.0862,8.80454511362784,23.3425,8.75579389484737,26.0188,8.114452861321533,15.742800000000003
0.33,62.328058201455036,91.8634,62.23978099452486,63.5195379884497,59.2935,8.908122703067576,18.096200000000003,8.804620115502887,23.332,8.75579389484737,26.0192,8.114452861321533,15.742900000000002
0.3309999999999999,62.18457961449035,90.98020000000001,62.10275256881421,63.41048526213155,58.824400000000004,8.908197704942623,18.1062,8.80477011925298,23.3214,8.755868896722419,26.0195,8.11452786319658,15.743099999999998
0.3320000000000001,62.042601065026616,90.11160000000001,61.96579914497862,63.30015750393759,58.3508,8.90827270681767,18.116100000000003,8.804920123003075,23.3108,8.755943898597465,26.019900000000003,8.114602865071626,15.7433
0.3329999999999999,61.902197554938866,89.2579,61.82914572864321,63.1881797044926,57.8718,8.90827270681767,18.126,8.804995124878122,23.300300000000004,8.756018900472512,26.0202,8.114602865071626,15.7435
0.3340000000000001,61.7633690842271,88.4186,61.693092327308186,63.07432685817145,57.3867,8.908347708692716,18.1359,8.805145128628215,23.289700000000003,8.756093902347558,26.0206,8.114677866946673,15.7437
0.3349999999999999,61.626040651016275,87.5926,61.55778894472361,62.95859896497412,56.894800000000004,8.908422710567763,18.1457,8.805295132378308,23.2791,8.756093902347558,26.0209,8.11475286882172,15.7439
0.3360000000000001,61.49013725343133,86.7781,61.423535588389704,62.84084602115052,56.395900000000005,8.908422710567763,18.1555,8.805370134253355,23.2684,8.756168904222605,26.0212,8.11475286882172,15.744100000000001
