model,component,node,total_C_m3_per_Pa,total_C_ml_per_mmHg,mean_pressure_mmHg,estimated_stored_volume_ml,category
quasi_0d_1d,aao_compliance,aao,4.000340028902456e-09,0.5333345815282544,46.96197683238216,25.04644626163812,retained_aortic_endpoint
quasi_0d_1d,aortic_arch_compliance,aortic_arch,5.00042503612807e-09,0.666668226910318,46.949670980293696,31.29985390645521,retained_aortic_endpoint
quasi_0d_1d,bca_compliance,bca,3.0002550216768422e-09,0.4000009361461908,46.551962415461375,18.62082854562684,other
quasi_0d_1d,lcca_compliance,lcca,1.5001275108384211e-09,0.2000004680730954,46.64468047022408,9.328957927164788,other
quasi_0d_1d,lsa_compliance,lsa,1.5001275108384211e-09,0.2000004680730954,46.64468047022408,9.328957927164788,other
quasi_0d_1d,upper_ca1,upper_art,1.500127510838421e-08,2.000004680730954,42.84463569137425,85.68947192696099,systemic_bed
quasi_0d_1d,upper_cv1,upper_ven,6.000510043353684e-08,8.000018722923816,19.21109150153677,153.68909170009678,systemic_bed
quasi_0d_1d,dao_compliance,dao,9.000765065030526e-09,1.2000028084385725,46.866139596376776,56.23949913632632,retained_aortic_endpoint
quasi_0d_1d,lower_ca2,lower_art,2.500212518064035e-08,3.33334113455159,39.26866854858331,130.895868172065,systemic_bed
quasi_0d_1d,lower_cv2,lower_ven,9.000765065030527e-08,12.000028084385724,14.550922449779284,174.61147805107015,systemic_bed
quasi_0d_1d,svc_compliance,svc,1.500127510838421e-07,20.00004680730954,9.046547589307876,180.9313752307108,retained_fontan_endpoint
quasi_0d_1d,ivc_compliance,ivc,2.2501912662576316e-07,30.00007021096431,8.847579991411296,265.42802093946193,retained_fontan_endpoint
quasi_0d_1d,tcpc_compliance,tcpc,1.200102008670737e-09,0.16000037445847637,8.158720272978666,1.3053982987785488,retained_fontan_endpoint
quasi_0d_1d,rpa_compliance,rpa,1.125095633128816e-08,1.5000035105482157,7.72209359445776,11.58316750046853,retained_fontan_endpoint
quasi_0d_1d,lpa_compliance,lpa,1.125095633128816e-08,1.5000035105482157,7.72186936005947,11.58283114808391,retained_fontan_endpoint
quasi_0d_1d,quasi_aao_arch_c_01,quasi_aao_arch_p_01,1.0668494758916303e-10,0.014223483870555102,46.9603869325245,0.6679403060897888,quasi_chain
quasi_0d_1d,quasi_aao_arch_c_02,quasi_aao_arch_p_02,8.651537681585692e-11,0.011534430062562415,46.95818222744398,0.5416358687675139,quasi_chain
quasi_0d_1d,quasi_aao_arch_c_03,quasi_aao_arch_p_03,6.846305380328459e-11,0.009127652621154596,46.95487130688739,0.42858775416028744,quasi_chain
quasi_0d_1d,quasi_aao_arch_c_04,aortic_arch,5.252797855144604e-11,0.0070031515463316405,46.949670980293696,0.3287956609254056,quasi_chain
quasi_0d_1d,quasi_dao_c_01,quasi_dao_p_01,8.840842497967723e-11,0.011786815620532333,46.94281737897845,0.5533063331543397,quasi_chain
quasi_0d_1d,quasi_dao_c_02,quasi_dao_p_02,7.891664019566993e-11,0.010521348927911282,46.93424947707891,0.49381161541798485,quasi_chain
quasi_0d_1d,quasi_dao_c_03,quasi_dao_p_03,6.996416136529939e-11,0.009327783751916426,46.92336729751541,0.4376910230629708,quasi_chain
quasi_0d_1d,quasi_dao_c_04,quasi_dao_p_04,6.155098848856565e-11,0.008206120092547769,46.9093041040162,0.3849433829354008,quasi_chain
quasi_0d_1d,quasi_dao_c_05,quasi_dao_p_05,5.367712156546866e-11,0.007156357949805304,46.89084440216969,0.3355676671105506,quasi_chain
quasi_0d_1d,quasi_dao_c_06,dao,4.6342560596008456e-11,0.006178497323689035,46.866139596376776,0.2895623180678506,quasi_chain
