phase,target_time_s,target_ascending_aorta_pressure_mmHg,target_aortic_arch_pressure_mmHg,target_descending_aorta_pressure_mmHg,target_ascending_aorta_flow_ml_s,target_descending_aorta_flow_ml_s,model_ascending_aorta_pressure_mmHg,model_aortic_arch_pressure_mmHg,model_descending_aorta_pressure_mmHg,model_ascending_aorta_flow_ml_s,model_dao_chain_outlet_flow_ml_s,model_lower_ra4_flow_ml_s
0.2692307692307691,0.2310000000000001,71.6216155403885,70.45203630090752,70.07807695192379,159.02200000000002,93.063,50.601360463093954,49.37896741878737,43.17055029498166,159.62499999982276,112.59869630382931,15.993693197271224
0.27039627039627007,0.2319999999999999,71.55126378159453,70.39330983274581,70.04117602940073,158.41400000000002,92.8128,50.63054875412736,49.36934864659222,43.25096716405708,159.02199999982187,113.60799681392757,16.218351627177373
0.2715617715617714,0.2330000000000001,71.47963699092476,70.33338333458335,70.00277506937672,157.80100000000002,92.5574,50.6557068444923,49.36068259486022,43.33202703197825,158.4139999998208,114.60074431722614,16.444594835981427
0.2727272727272724,0.2339999999999999,71.4067351683792,70.2721818045451,69.96287407185179,157.184,92.2968,50.67671026081103,49.35301164175933,43.41371490472098,157.80099999982113,115.5770007979227,16.67238025932819
0.2738927738927738,0.2350000000000001,71.3326333158329,70.2097802445061,69.92154803870096,156.56300000000002,92.0311,50.6934154942669,49.34636132202958,43.49601586396407,157.18399999981906,116.53680200842298,16.90166557687674
0.2750582750582748,0.236,71.25740643516087,70.14617865446635,69.87879696992425,155.93800000000002,91.7606,50.70571038231395,49.34072812456561,43.57891505556255,156.56299999981826,117.48018258652125,17.132408680338095
0.2762237762237761,0.2370000000000001,71.18097952448811,70.08137703442586,69.83462086552163,155.30900000000003,91.4853,50.71355687910959,49.336087919415526,43.662397699019074,155.9379999998162,118.40720157852134,17.364567699381116
0.27738927738927716,0.238,71.10342758568963,70.01545038625964,69.78916972924323,154.676,91.2054,50.716982830825046,49.33241430254887,43.74644911522113,155.3089999998165,119.31796109051803,17.598101077831714
0.27855477855477845,0.2390000000000001,71.02475061876545,69.94847371184278,69.74236855921397,154.04000000000002,90.9209,50.716026180560696,49.329690833559134,43.83105476445399,154.67599999981567,120.21261259841651,17.832967678114983
0.27972027972027946,0.24,70.94502362559064,69.88037200930022,69.69429235730892,153.4,90.632,50.71067985676926,49.32791069342071,43.91620028358267,154.03999999981488,121.09134884781481,18.069126883321978
0.28088578088578076,0.2410000000000001,70.86424660616515,69.811220280507,69.64486612165304,152.75600000000003,90.3388,50.70089136903039,49.327068320428175,44.001871511318576,153.39999999981507,121.95438337561178,18.30653866637017
0.28205128205128177,0.242,70.78249456236405,69.74101852546313,69.59431485787144,152.109,90.0415,50.68662043452497,49.32714979685277,44.08805449368497,152.75599999981324,122.80192330531159,18.54516360456297
0.28321678321678306,0.2430000000000001,70.6996924923123,69.66984174604364,69.54248856221405,151.459,89.74000000000001,50.66789625251865,49.32812503362609,44.17473546734408,152.1089999998124,123.63414311811009,18.78496283315448
0.28438228438228413,0.244,70.61591539788493,69.59768994224855,69.48946223655591,150.806,89.43450000000001,50.64481991302455,49.32994354616516,44.261900824755216,151.45899999981054,124.45116690230986,19.025897948904966
0.2855477855477854,0.2450000000000001,70.53123828095701,69.5244881122028,69.43531088277206,150.15,89.1252,50.617511145150516,49.33253773323726,44.34953707030777,150.80599999981087,125.2530641211069,19.26793088885509
0.28671328671328644,0.246,70.44558613965349,69.45046126153153,69.38003450086252,149.491,88.8122,50.58604979665172,49.33583582214198,44.43763077906724,150.14999999981015,126.03985990600519,19.511023816398666
0.28787878787878773,0.2470000000000001,70.35903397584939,69.37545938648465,69.32363309082726,148.829,88.4954,50.55046557169976,49.33977783427173,44.526168568748915,149.4909999998093,126.81155648930363,19.755139043886107
0.2890442890442888,0.248,70.27165679141977,69.29948248706218,69.26610665266631,148.16400000000002,88.1751,50.510781144446774,49.344320711564215,44.615137091315155,148.82899999980975,127.56815900560063,20.00023900934731
0.2902097902097901,0.2490000000000001,70.1833795844896,69.22275556888921,69.20760519012975,147.497,87.85130000000001,50.467066533458876,49.349424710848865,44.70452304443145,148.16399999980788,128.30969760440036,20.246286307936664
0.2913752913752911,0.25,70.09435235880896,69.1451286282157,69.14797869946749,146.82700000000003,87.5241,50.41945630021433,49.355030712396996,44.794313196851476,147.49699999980717,129.03623904639858,20.49324376172103
0.2925407925407924,0.2510000000000001,70.00442511062776,69.06660166504162,69.0873771844296,146.155,87.1936,50.368125127202596,49.36105002139597,44.88449441756926,146.82699999980642,129.747884336197,20.74107449978672
